submission_id,household_id,action,column,before,after,reason
uuid:00395,HH-RUB-0395,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00352,HH-KIR-0352,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00263,HH-RUB-0263,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00361,HH-KIR-0361,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00231,HH-IBA-0231,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00405,HH-IBA-0405,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00012,HH-IBA-0012,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00097,HH-KIR-0097,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00135,HH-IBA-0135,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00018,HH-IBA-0018,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00413,HH-RUB-0413,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00295,HH-KIR-0295,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00271,HH-KIR-0271,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00392,HH-RUB-0392,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00357,HH-IBA-0357,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00051,HH-IBA-0051,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00185,HH-RUB-0185,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00294,HH-IBA-0294,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:90000,HH-KIR-0271,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00133,HH-KIR-0133,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00183,HH-IBA-0183,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00071,HH-RUB-0071,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00033,HH-IBA-0033,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00154,HH-KIR-0154,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00238,HH-KIR-0238,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00067,HH-KIR-0067,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00002,HH-RUB-0002,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00233,HH-RUB-0233,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00418,HH-KIR-0418,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00118,HH-KIR-0118,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00136,HH-KIR-0136,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00058,HH-KIR-0058,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00343,HH-KIR-0343,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00029,HH-RUB-0029,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00044,HH-RUB-0044,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00359,HH-RUB-0359,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00404,HH-RUB-0404,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00037,HH-KIR-0037,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00377,HH-RUB-0377,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00267,HH-IBA-0267,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00167,HH-RUB-0167,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00252,HH-IBA-0252,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00207,HH-IBA-0207,normalise_categorical,district, Ibanda ,ibanda,whitespace or case standardised
uuid:00101,HH-RUB-0101,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00151,HH-KIR-0151,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00200,HH-RUB-0200,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00090,HH-IBA-0090,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00381,HH-IBA-0381,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00326,HH-RUB-0326,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00316,HH-KIR-0316,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00370,HH-KIR-0370,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00416,HH-RUB-0416,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00265,HH-KIR-0265,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00114,HH-IBA-0114,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00336,HH-IBA-0336,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00106,HH-KIR-0106,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00402,HH-IBA-0402,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00163,HH-KIR-0163,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00013,HH-KIR-0013,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00119,HH-RUB-0119,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00237,HH-IBA-0237,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00152,HH-RUB-0152,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00337,HH-KIR-0337,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00205,HH-KIR-0205,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00112,HH-KIR-0112,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00134,HH-RUB-0134,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00073,HH-KIR-0073,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00298,HH-KIR-0298,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00363,HH-IBA-0363,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00234,HH-IBA-0234,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00347,HH-RUB-0347,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00333,HH-IBA-0333,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00105,HH-IBA-0105,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00287,HH-RUB-0287,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00398,HH-RUB-0398,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00155,HH-RUB-0155,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00100,HH-KIR-0100,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00169,HH-KIR-0169,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00269,HH-RUB-0269,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00341,HH-RUB-0341,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00268,HH-KIR-0268,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00065,HH-RUB-0065,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00192,HH-IBA-0192,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00082,HH-KIR-0082,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00218,HH-RUB-0218,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00358,HH-KIR-0358,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00249,HH-IBA-0249,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00092,HH-RUB-0092,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00210,HH-IBA-0210,normalise_categorical,district, Ibanda ,ibanda,whitespace or case standardised
uuid:90005,HH-RUB-0278,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00054,HH-IBA-0054,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00140,HH-RUB-0140,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00158,HH-RUB-0158,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00109,HH-KIR-0109,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00240,HH-IBA-0240,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00035,HH-RUB-0035,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00322,HH-KIR-0322,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00159,HH-IBA-0159,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00079,HH-KIR-0079,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00390,HH-IBA-0390,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00099,HH-IBA-0099,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00221,HH-RUB-0221,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00046,HH-KIR-0046,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00339,HH-IBA-0339,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00254,HH-RUB-0254,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00259,HH-KIR-0259,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00162,HH-IBA-0162,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00349,HH-KIR-0349,normalise_categorical,district, Kiruhura ,kiruhura,whitespace or case standardised
uuid:00034,HH-KIR-0034,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00330,HH-IBA-0330,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00009,HH-IBA-0009,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00288,HH-IBA-0288,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00227,HH-RUB-0227,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00279,HH-IBA-0279,normalise_categorical,district, Ibanda ,ibanda,whitespace or case standardised
uuid:00127,HH-KIR-0127,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00131,HH-RUB-0131,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00304,HH-KIR-0304,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00310,HH-KIR-0310,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00396,HH-IBA-0396,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00062,HH-RUB-0062,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00083,HH-RUB-0083,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00080,HH-RUB-0080,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00068,HH-RUB-0068,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00053,HH-RUB-0053,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00300,HH-IBA-0300,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00388,HH-KIR-0388,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00196,HH-KIR-0196,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00010,HH-KIR-0010,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00165,HH-IBA-0165,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00270,HH-IBA-0270,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00380,HH-RUB-0380,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00248,HH-RUB-0248,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00417,HH-IBA-0417,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00226,HH-KIR-0226,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00320,HH-RUB-0320,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00148,HH-KIR-0148,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00241,HH-KIR-0241,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00384,HH-IBA-0384,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00041,HH-RUB-0041,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00177,HH-IBA-0177,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00121,HH-KIR-0121,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00275,HH-RUB-0275,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00023,HH-RUB-0023,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00374,HH-RUB-0374,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00197,HH-RUB-0197,normalise_categorical,district, Rubirizi ,rubirizi,whitespace or case standardised
uuid:00052,HH-KIR-0052,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00289,HH-KIR-0289,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00366,HH-IBA-0366,normalise_categorical,district, Ibanda ,ibanda,whitespace or case standardised
uuid:00070,HH-KIR-0070,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00032,HH-RUB-0032,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00043,HH-KIR-0043,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00108,HH-IBA-0108,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00084,HH-IBA-0084,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00246,HH-IBA-0246,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00307,HH-KIR-0307,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00215,HH-RUB-0215,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00284,HH-RUB-0284,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00306,HH-IBA-0306,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00412,HH-KIR-0412,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00055,HH-KIR-0055,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00348,HH-IBA-0348,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00191,HH-RUB-0191,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00063,HH-IBA-0063,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00346,HH-KIR-0346,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00042,HH-IBA-0042,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00323,HH-RUB-0323,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00302,HH-RUB-0302,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00005,HH-RUB-0005,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00129,HH-IBA-0129,normalise_categorical,district, Ibanda ,ibanda,whitespace or case standardised
uuid:00172,HH-KIR-0172,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00224,HH-RUB-0224,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00409,HH-KIR-0409,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00017,HH-RUB-0017,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00036,HH-IBA-0036,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00321,HH-IBA-0321,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00356,HH-RUB-0356,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00312,HH-IBA-0312,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00220,HH-KIR-0220,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00266,HH-RUB-0266,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00045,HH-IBA-0045,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00128,HH-RUB-0128,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00350,HH-RUB-0350,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00087,HH-IBA-0087,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00095,HH-RUB-0095,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00157,HH-KIR-0157,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00299,HH-RUB-0299,normalise_categorical,district, Rubirizi ,rubirizi,whitespace or case standardised
uuid:00116,HH-RUB-0116,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00242,HH-RUB-0242,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00040,HH-KIR-0040,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00414,HH-IBA-0414,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00386,HH-RUB-0386,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00004,HH-KIR-0004,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00372,HH-IBA-0372,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00198,HH-IBA-0198,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00335,HH-RUB-0335,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00362,HH-RUB-0362,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00086,HH-RUB-0086,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00060,HH-IBA-0060,normalise_categorical,district, Ibanda ,ibanda,whitespace or case standardised
uuid:00257,HH-RUB-0257,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00325,HH-KIR-0325,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00161,HH-RUB-0161,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00193,HH-KIR-0193,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00364,HH-KIR-0364,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00245,HH-RUB-0245,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00318,HH-IBA-0318,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00098,HH-RUB-0098,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00385,HH-KIR-0385,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00212,HH-RUB-0212,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00028,HH-KIR-0028,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00181,HH-KIR-0181,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00039,HH-IBA-0039,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00383,HH-RUB-0383,normalise_categorical,district, Rubirizi ,rubirizi,whitespace or case standardised
uuid:00142,HH-KIR-0142,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00194,HH-RUB-0194,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00064,HH-KIR-0064,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00313,HH-KIR-0313,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00093,HH-IBA-0093,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00264,HH-IBA-0264,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00038,HH-RUB-0038,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00187,HH-KIR-0187,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00150,HH-IBA-0150,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00394,HH-KIR-0394,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00216,HH-IBA-0216,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00170,HH-RUB-0170,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00006,HH-IBA-0006,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00277,HH-KIR-0277,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00168,HH-IBA-0168,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00391,HH-KIR-0391,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00292,HH-KIR-0292,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00201,HH-IBA-0201,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00184,HH-KIR-0184,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00225,HH-IBA-0225,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00203,HH-RUB-0203,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00393,HH-IBA-0393,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00175,HH-KIR-0175,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00020,HH-RUB-0020,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00379,HH-KIR-0379,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00206,HH-RUB-0206,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00143,HH-RUB-0143,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00351,HH-IBA-0351,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00015,HH-IBA-0015,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00228,HH-IBA-0228,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00117,HH-IBA-0117,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00411,HH-IBA-0411,normalise_categorical,district, Ibanda ,ibanda,whitespace or case standardised
uuid:00272,HH-RUB-0272,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00334,HH-KIR-0334,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00072,HH-IBA-0072,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00171,HH-IBA-0171,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
uuid:00188,HH-RUB-0188,normalise_categorical,district,Rubirizi,rubirizi,whitespace or case standardised
uuid:00145,HH-KIR-0145,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00019,HH-KIR-0019,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00115,HH-KIR-0115,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00400,HH-KIR-0400,normalise_categorical,district,Kiruhura,kiruhura,whitespace or case standardised
uuid:00096,HH-IBA-0096,normalise_categorical,district,Ibanda,ibanda,whitespace or case standardised
